timestamp,open,high,low,close,volume,spread
2025-01-02T10:35:00+00:00,2633.83,2634.31,2633.37,2634.02,207,9
2025-01-02T10:40:00+00:00,2634.10,2636.98,2633.71,2636.30,308,11
2025-01-02T10:45:00+00:00,2636.29,2637.84,2635.79,2635.94,298,9
2025-01-02T10:50:00+00:00,2635.98,2636.73,2635.38,2635.76,260,8
2025-01-02T10:55:00+00:00,2635.76,2637.13,2635.58,2636.37,281,10
2025-01-02T11:00:00+00:00,2636.43,2639.83,2636.36,2638.54,419,6
2025-01-02T11:05:00+00:00,2638.28,2639.47,2638.09,2638.30,321,11
2025-01-02T11:10:00+00:00,2638.29,2639.15,2637.33,2638.22,337,12
2025-01-02T11:15:00+00:00,2638.20,2638.67,2637.82,2638.21,258,12
2025-01-02T11:20:00+00:00,2638.22,2638.34,2637.29,2637.45,312,13
2025-01-02T11:25:00+00:00,2637.45,2639.97,2637.35,2637.40,263,8
2025-01-02T11:30:00+00:00,2637.41,2638.37,2637.17,2637.89,257,8
2025-01-02T11:35:00+00:00,2637.84,2637.84,2636.66,2636.86,221,12
2025-01-02T11:40:00+00:00,2636.83,2637.63,2636.75,2637.14,288,13
2025-01-02T11:45:00+00:00,2637.19,2637.89,2636.55,2637.34,230,8
2025-01-02T11:50:00+00:00,2637.37,2637.63,2636.37,2636.80,270,14
2025-01-02T11:55:00+00:00,2636.79,2637.38,2636.03,2636.09,287,11
2025-01-02T12:00:00+00:00,2636.09,2636.10,2633.54,2633.65,376,11
2025-01-02T12:05:00+00:00,2633.64,2635.57,2632.76,2635.57,356,13
2025-01-02T12:10:00+00:00,2635.56,2639.00,2635.47,2638.97,391,13
2025-01-02T12:15:00+00:00,2638.97,2643.80,2638.16,2643.45,388,5
2025-01-02T12:20:00+00:00,2643.41,2646.37,2642.86,2645.43,440,10
2025-01-02T12:25:00+00:00,2645.42,2646.13,2644.46,2644.86,400,5
2025-01-02T12:30:00+00:00,2644.92,2645.54,2643.20,2643.93,366,5
2025-01-02T12:35:00+00:00,2643.90,2645.61,2643.14,2644.49,357,13
2025-01-02T12:40:00+00:00,2644.41,2645.28,2643.66,2644.00,339,11
2025-01-02T12:45:00+00:00,2643.94,2644.11,2642.33,2643.04,404,11
2025-01-02T12:50:00+00:00,2642.97,2643.79,2640.54,2642.77,437,6
2025-01-02T12:55:00+00:00,2642.65,2643.02,2641.84,2642.74,292,8
2025-01-02T13:00:00+00:00,2642.74,2643.61,2642.45,2643.14,264,11
2025-01-02T13:05:00+00:00,2643.14,2644.38,2643.14,2644.13,238,12
2025-01-02T13:10:00+00:00,2644.14,2644.69,2643.82,2644.26,321,12
2025-01-02T13:15:00+00:00,2644.27,2644.46,2642.95,2643.06,328,9
2025-01-02T13:20:00+00:00,2643.11,2643.58,2641.83,2642.19,290,13
2025-01-02T13:25:00+00:00,2641.99,2642.20,2640.64,2641.82,275,7
2025-01-02T13:30:00+00:00,2641.90,2642.09,2640.33,2640.92,291,5
2025-01-02T13:35:00+00:00,2640.90,2641.76,2640.46,2641.76,250,13
2025-01-02T13:40:00+00:00,2641.88,2642.81,2640.94,2642.14,310,13
2025-01-02T13:45:00+00:00,2642.16,2642.55,2641.19,2642.15,279,13
2025-01-02T13:50:00+00:00,2642.17,2642.23,2641.26,2641.92,221,11
2025-01-02T13:55:00+00:00,2641.88,2642.28,2641.71,2642.01,242,13
2025-01-02T14:00:00+00:00,2641.99,2642.83,2641.05,2641.27,326,5
2025-01-02T14:05:00+00:00,2641.25,2641.39,2640.39,2640.76,264,11
2025-01-02T14:10:00+00:00,2640.74,2641.36,2640.39,2641.03,278,13
2025-01-02T14:15:00+00:00,2640.97,2641.68,2640.61,2641.36,283,13
2025-01-02T14:20:00+00:00,2641.50,2642.04,2641.04,2642.01,248,13
2025-01-02T14:25:00+00:00,2642.05,2643.20,2641.56,2642.77,307,10
2025-01-02T14:30:00+00:00,2642.75,2645.26,2642.18,2643.88,388,13
2025-01-02T14:35:00+00:00,2643.92,2645.19,2643.46,2644.40,382,5
2025-01-02T14:40:00+00:00,2644.42,2644.48,2643.13,2644.23,338,13
2025-01-02T14:45:00+00:00,2644.30,2646.45,2644.21,2645.65,359,13
2025-01-02T14:50:00+00:00,2645.57,2645.57,2644.23,2645.22,337,13
2025-01-02T14:55:00+00:00,2645.09,2645.09,2642.85,2643.39,398,10
2025-01-02T15:00:00+00:00,2643.34,2643.34,2640.76,2641.84,501,7
2025-01-02T15:05:00+00:00,2641.80,2643.36,2641.45,2641.87,459,13
2025-01-02T15:10:00+00:00,2641.84,2642.49,2638.42,2638.51,469,13
2025-01-02T15:15:00+00:00,2638.61,2639.33,2636.60,2637.80,452,5
2025-01-02T15:20:00+00:00,2637.70,2639.34,2636.02,2637.53,484,11
2025-01-02T15:25:00+00:00,2637.54,2641.11,2636.85,2640.60,385,12
2025-01-02T15:30:00+00:00,2640.12,2640.96,2637.03,2640.24,440,12
2025-01-02T15:35:00+00:00,2640.33,2641.08,2639.15,2639.15,492,13
2025-01-02T15:40:00+00:00,2638.93,2640.08,2638.57,2639.15,434,11
2025-01-02T15:45:00+00:00,2639.12,2642.99,2638.19,2642.55,485,13
2025-01-02T15:50:00+00:00,2642.56,2645.57,2642.56,2645.35,496,13
2025-01-02T15:55:00+00:00,2645.36,2647.38,2642.88,2642.99,476,5
2025-01-02T16:00:00+00:00,2643.01,2644.86,2640.37,2641.63,505,11
2025-01-02T16:05:00+00:00,2641.61,2642.35,2640.57,2641.49,404,13
2025-01-02T16:10:00+00:00,2641.51,2646.92,2641.42,2646.92,436,9
2025-01-02T16:15:00+00:00,2646.90,2649.09,2646.20,2646.81,492,12
2025-01-02T16:20:00+00:00,2647.02,2647.96,2646.28,2646.48,393,13
2025-01-02T16:25:00+00:00,2646.42,2647.60,2646.14,2646.32,417,13
2025-01-02T16:30:00+00:00,2646.70,2650.14,2646.35,2648.60,521,12
2025-01-02T16:35:00+00:00,2648.66,2649.61,2646.38,2648.12,507,9
2025-01-02T16:40:00+00:00,2648.12,2649.63,2647.60,2648.70,359,12
2025-01-02T16:45:00+00:00,2648.64,2651.06,2647.96,2648.26,459,5
2025-01-02T16:50:00+00:00,2648.33,2649.29,2646.95,2648.95,465,13
2025-01-02T16:55:00+00:00,2649.03,2649.35,2646.90,2647.73,419,12
2025-01-02T17:00:00+00:00,2647.43,2648.75,2645.20,2647.59,524,8
2025-01-02T17:05:00+00:00,2647.78,2649.60,2647.24,2648.60,484,11
2025-01-02T17:10:00+00:00,2648.66,2649.02,2646.50,2648.60,481,11
2025-01-02T17:15:00+00:00,2648.66,2649.52,2647.83,2648.63,436,12
2025-01-02T17:20:00+00:00,2648.62,2649.16,2647.56,2648.96,422,13
2025-01-02T17:25:00+00:00,2648.95,2649.58,2647.63,2648.79,448,13
2025-01-02T17:30:00+00:00,2648.53,2652.85,2648.44,2652.23,484,9
2025-01-02T17:35:00+00:00,2652.21,2653.55,2651.32,2652.66,500,7
2025-01-02T17:40:00+00:00,2652.56,2653.46,2651.17,2651.96,468,12
2025-01-02T17:45:00+00:00,2651.87,2654.07,2651.45,2654.07,466,13
2025-01-02T17:50:00+00:00,2654.14,2655.34,2653.78,2654.99,464,12
2025-01-02T17:55:00+00:00,2654.98,2655.78,2653.38,2654.10,475,10
2025-01-02T18:00:00+00:00,2653.91,2654.29,2650.07,2651.11,550,11
2025-01-02T18:05:00+00:00,2651.16,2652.75,2650.08,2652.75,515,6
2025-01-02T18:10:00+00:00,2652.75,2654.39,2652.32,2653.58,486,10
2025-01-02T18:15:00+00:00,2653.56,2656.11,2653.37,2656.11,459,13
2025-01-02T18:20:00+00:00,2656.07,2657.78,2655.53,2657.61,504,8
2025-01-02T18:25:00+00:00,2657.59,2657.96,2656.36,2656.74,458,11
2025-01-02T18:30:00+00:00,2656.82,2656.83,2654.90,2656.02,394,5
2025-01-02T18:35:00+00:00,2655.97,2657.95,2655.96,2657.78,319,8
2025-01-02T18:40:00+00:00,2657.79,2658.45,2656.86,2657.48,308,13
2025-01-02T18:45:00+00:00,2657.58,2659.60,2657.41,2659.09,324,12
2025-01-02T18:50:00+00:00,2659.16,2659.99,2658.23,2659.99,357,9
2025-01-02T18:55:00+00:00,2659.86,2660.45,2659.33,2659.33,384,10
2025-01-02T19:00:00+00:00,2659.32,2660.42,2659.05,2660.34,342,7
2025-01-02T19:05:00+00:00,2660.35,2660.40,2658.11,2658.28,341,7
2025-01-02T19:10:00+00:00,2658.28,2659.52,2658.15,2659.08,335,9
2025-01-02T19:15:00+00:00,2659.08,2659.08,2656.51,2658.06,416,12
2025-01-02T19:20:00+00:00,2658.05,2659.96,2658.05,2658.52,387,5
2025-01-02T19:25:00+00:00,2658.51,2658.51,2656.05,2656.47,354,13
2025-01-02T19:30:00+00:00,2656.39,2656.60,2653.30,2653.91,397,13
2025-01-02T19:35:00+00:00,2653.83,2654.41,2653.18,2654.39,365,13
2025-01-02T19:40:00+00:00,2654.39,2654.55,2653.36,2653.74,346,5
2025-01-02T19:45:00+00:00,2653.79,2653.83,2652.84,2653.10,325,5
2025-01-02T19:50:00+00:00,2653.11,2655.15,2652.61,2654.98,359,5
2025-01-02T19:55:00+00:00,2654.99,2656.65,2654.25,2656.52,386,10
2025-01-02T20:00:00+00:00,2656.53,2658.28,2655.88,2657.48,395,13
