rank,confirmation_mode,min_atr,max_spread,context_ema_period,execution_ema_period,total_trades,win_rate,profit_factor,max_drawdown,net_pnl
57,relaxed,0.50,1.00,3,5,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
58,relaxed,0.25,0.50,3,10,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
59,relaxed,0.25,0.75,3,10,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
60,relaxed,0.25,1.00,3,10,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
61,relaxed,0.50,0.50,3,10,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
62,relaxed,0.50,0.75,3,10,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
63,relaxed,0.50,1.00,3,10,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
64,relaxed,0.25,0.50,5,3,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
65,relaxed,0.25,0.75,5,3,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
66,relaxed,0.25,1.00,5,3,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
67,relaxed,0.50,0.50,5,3,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
68,relaxed,0.50,0.75,5,3,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
69,relaxed,0.50,1.00,5,3,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
70,relaxed,0.25,0.50,5,5,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
71,relaxed,0.25,0.75,5,5,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
72,relaxed,0.25,1.00,5,5,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
73,relaxed,0.50,0.50,5,5,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
74,relaxed,0.50,0.75,5,5,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
75,relaxed,0.50,1.00,5,5,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
76,relaxed,0.25,0.50,5,10,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
77,relaxed,0.25,0.75,5,10,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
78,relaxed,0.25,1.00,5,10,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
79,relaxed,0.50,0.50,5,10,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
80,relaxed,0.50,0.75,5,10,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
81,relaxed,0.50,1.00,5,10,65,0.8461538461538461538461538462,5.054241715935652413034511747,2.5478571428571428571429,42.123571428571428571428573
82,strict,0.25,0.50,3,3,0,0,n/a,0,0
83,strict,0.25,0.75,3,3,0,0,n/a,0,0
84,strict,0.25,1.00,3,3,0,0,n/a,0,0
85,strict,0.50,0.50,3,3,0,0,n/a,0,0
86,strict,0.50,0.75,3,3,0,0,n/a,0,0
87,strict,0.50,1.00,3,3,0,0,n/a,0,0
88,strict,0.75,0.50,3,3,0,0,n/a,0,0
89,strict,0.75,0.75,3,3,0,0,n/a,0,0
90,strict,0.75,1.00,3,3,0,0,n/a,0,0
91,strict,0.25,0.50,3,5,0,0,n/a,0,0
92,strict,0.25,0.75,3,5,0,0,n/a,0,0
93,strict,0.25,1.00,3,5,0,0,n/a,0,0
94,strict,0.50,0.50,3,5,0,0,n/a,0,0
95,strict,0.50,0.75,3,5,0,0,n/a,0,0
96,strict,0.50,1.00,3,5,0,0,n/a,0,0
97,strict,0.75,0.50,3,5,0,0,n/a,0,0
98,strict,0.75,0.75,3,5,0,0,n/a,0,0
99,strict,0.75,1.00,3,5,0,0,n/a,0,0
100,strict,0.25,0.50,3,10,0,0,n/a,0,0
101,strict,0.25,0.75,3,10,0,0,n/a,0,0
102,strict,0.25,1.00,3,10,0,0,n/a,0,0
103,strict,0.50,0.50,3,10,0,0,n/a,0,0
104,strict,0.50,0.75,3,10,0,0,n/a,0,0
105,strict,0.50,1.00,3,10,0,0,n/a,0,0
106,strict,0.75,0.50,3,10,0,0,n/a,0,0
107,strict,0.75,0.75,3,10,0,0,n/a,0,0
108,strict,0.75,1.00,3,10,0,0,n/a,0,0
109,strict,0.25,0.50,5,3,0,0,n/a,0,0
110,strict,0.25,0.75,5,3,0,0,n/a,0,0
111,strict,0.25,1.00,5,3,0,0,n/a,0,0
112,strict,0.50,0.50,5,3,0,0,n/a,0,0
113,strict,0.50,0.75,5,3,0,0,n/a,0,0
114,strict,0.50,1.00,5,3,0,0,n/a,0,0
115,strict,0.75,0.50,5,3,0,0,n/a,0,0
116,strict,0.75,0.75,5,3,0,0,n/a,0,0
117,strict,0.75,1.00,5,3,0,0,n/a,0,0
118,strict,0.25,0.50,5,5,0,0,n/a,0,0
119,strict,0.25,0.75,5,5,0,0,n/a,0,0
120,strict,0.25,1.00,5,5,0,0,n/a,0,0
121,strict,0.50,0.50,5,5,0,0,n/a,0,0
122,strict,0.50,0.75,5,5,0,0,n/a,0,0
123,strict,0.50,1.00,5,5,0,0,n/a,0,0
124,strict,0.75,0.50,5,5,0,0,n/a,0,0
125,strict,0.75,0.75,5,5,0,0,n/a,0,0
126,strict,0.75,1.00,5,5,0,0,n/a,0,0
127,strict,0.25,0.50,5,10,0,0,n/a,0,0
128,strict,0.25,0.75,5,10,0,0,n/a,0,0
129,strict,0.25,1.00,5,10,0,0,n/a,0,0
130,strict,0.50,0.50,5,10,0,0,n/a,0,0
131,strict,0.50,0.75,5,10,0,0,n/a,0,0
132,strict,0.50,1.00,5,10,0,0,n/a,0,0
133,strict,0.75,0.50,5,10,0,0,n/a,0,0
134,strict,0.75,0.75,5,10,0,0,n/a,0,0
135,strict,0.75,1.00,5,10,0,0,n/a,0,0
136,strict,0.25,0.50,10,3,0,0,n/a,0,0
137,strict,0.25,0.75,10,3,0,0,n/a,0,0
138,strict,0.25,1.00,10,3,0,0,n/a,0,0
139,strict,0.50,0.50,10,3,0,0,n/a,0,0
140,strict,0.50,0.75,10,3,0,0,n/a,0,0
141,strict,0.50,1.00,10,3,0,0,n/a,0,0
142,strict,0.75,0.50,10,3,0,0,n/a,0,0
143,strict,0.75,0.75,10,3,0,0,n/a,0,0
144,strict,0.75,1.00,10,3,0,0,n/a,0,0
145,strict,0.25,0.50,10,5,0,0,n/a,0,0
146,strict,0.25,0.75,10,5,0,0,n/a,0,0
147,strict,0.25,1.00,10,5,0,0,n/a,0,0
148,strict,0.50,0.50,10,5,0,0,n/a,0,0
149,strict,0.50,0.75,10,5,0,0,n/a,0,0
150,strict,0.50,1.00,10,5,0,0,n/a,0,0
151,strict,0.75,0.50,10,5,0,0,n/a,0,0
152,strict,0.75,0.75,10,5,0,0,n/a,0,0
153,strict,0.75,1.00,10,5,0,0,n/a,0,0
154,strict,0.25,0.50,10,10,0,0,n/a,0,0
155,strict,0.25,0.75,10,10,0,0,n/a,0,0
156,strict,0.25,1.00,10,10,0,0,n/a,0,0
157,strict,0.50,0.50,10,10,0,0,n/a,0,0
158,strict,0.50,0.75,10,10,0,0,n/a,0,0
159,strict,0.50,1.00,10,10,0,0,n/a,0,0
160,strict,0.75,0.50,10,10,0,0,n/a,0,0
161,strict,0.75,0.75,10,10,0,0,n/a,0,0
162,strict,0.75,1.00,10,10,0,0,n/a,0,0
