setup,parameters,trades,win_rate,profit_factor,net_pnl,max_drawdown,average_r,average_monthly_pnl,worst_monthly_pnl,best_monthly_pnl,positive_months,total_months
opening_range_breakout,opening_range_breakout:london_ib:rr=3.0,1547,0.30187459599224303,0.9780882402912412,-171.52599999999848,743.6374999999978,-0.09577458146154247,-2.3496712328766916,-161.56049999999777,291.8525000000009,28,73
impulse_continuation,impulse_continuation:bars=12:atr=0.75:rr=2.5,1544,0.3477979274611399,0.9793323209257714,-195.03007248759081,588.5589418427498,-0.032799793944760076,-2.6716448285971346,-207.75104553541587,222.14368952009045,33,73
opening_range_breakout,opening_range_breakout:london_ib:rr=2.0,1547,0.34259857789269554,0.9504462885745465,-370.7130000000052,797.9875000000025,-0.09402506449773032,-5.078260273972674,-183.69149999999718,211.19300000000112,30,73
opening_range_breakout,opening_range_breakout:pre_london:rr=2.0,1545,0.35145631067961164,0.9565855820591777,-375.5479999999991,693.0515000000066,-0.07884639403066054,-5.144493150684919,-257.28400000000056,297.39250000000266,26,73
opening_range_breakout,opening_range_breakout:pre_london:rr=3.0,1545,0.312621359223301,0.9435376181563353,-507.8385000000121,879.1355000000117,-0.09194085077269558,-6.956691780822084,-398.8944999999985,471.10349999999835,30,73
failed_breakout_reversal,failed_breakout_reversal:asia:rr=3.0,1459,0.19396847155586017,0.7870073494495897,-508.424000000035,648.828500000021,-0.4920735237977993,-6.964712328767603,-50.37499999999818,68.9600000000064,23,73
opening_range_breakout,opening_range_breakout:london_ib:rr=2.5,1547,0.3173884938590821,0.933723870550699,-512.2320000000016,873.224500000003,-0.09806556717376735,-7.016876712328789,-175.90549999999757,200.02950000000055,28,73
failed_breakout_reversal,failed_breakout_reversal:pre_london:rr=2.5,1491,0.23138832997987926,0.7692756372710156,-520.7555000000036,705.1685000000045,-0.4412922543373131,-7.133636986301419,-54.08849999999893,117.92400000000544,17,73
failed_breakout_reversal,failed_breakout_reversal:pre_london:rr=3.0,1491,0.204560697518444,0.7726154750421483,-534.6364999999987,771.9139999999993,-0.4398480101825174,-7.323787671232859,-81.96950000000015,122.19950000000517,23,73
failed_breakout_reversal,failed_breakout_reversal:asia:rr=2.5,1459,0.21795750514050719,0.7672623706880559,-536.6825000000272,620.8240000000233,-0.4977934608958505,-7.351815068493523,-40.843499999998585,46.82149999999865,20,73
failed_breakout_reversal,failed_breakout_reversal:asia:rr=2.0,1459,0.25154215215901304,0.7461732478998527,-554.0010000000245,596.8410000000165,-0.503340819710675,-7.589054794520884,-41.33499999999958,43.541000000003805,19,73
opening_range_breakout,opening_range_breakout:pre_london:rr=2.5,1545,0.3262135922330097,0.9364679642540453,-563.0020000000088,783.7550000000097,-0.08993055751227635,-7.712356164383682,-414.5724999999984,391.8595000000005,28,73
failed_breakout_reversal,failed_breakout_reversal:pre_london:rr=2.0,1491,0.26492287055667335,0.7281652044248692,-587.9175000000034,723.7935000000004,-0.44959717243201347,-8.05366438356169,-62.35499999999956,86.08550000000287,18,73
failed_breakout_reversal,failed_breakout_reversal:london_ib:rr=3.0,1478,0.17117726657645466,0.6728487763848964,-756.1334999999865,905.4894999999897,-0.5747741627939196,-10.357993150684747,-79.22449999999844,84.70100000000457,16,73
failed_breakout_reversal,failed_breakout_reversal:ny_open:rr=3.0,1409,0.21717530163236337,0.7415688077574688,-779.877499999998,825.6859999999983,-0.3595996086441231,-10.683253424657506,-164.054500000002,50.433499999998276,18,73
failed_breakout_reversal,failed_breakout_reversal:london_ib:rr=2.5,1478,0.19621109607577808,0.6486162610809658,-787.0169999999914,901.6659999999902,-0.5673232066807796,-10.781054794520431,-83.3174999999992,93.19800000000123,16,73
failed_breakout_reversal,failed_breakout_reversal:ny_open:rr=2.0,1409,0.2668559261887864,0.7131018492064323,-808.360499999998,856.1464999999964,-0.384025253657028,-11.073431506849287,-139.4210000000012,48.48100000000022,15,73
failed_breakout_reversal,failed_breakout_reversal:london_ib:rr=2.0,1478,0.2347767253044655,0.6206933292299668,-813.4534999999983,877.7374999999959,-0.542596151913001,-11.143198630136963,-79.46150000000125,72.99849999999878,15,73
failed_breakout_reversal,failed_breakout_reversal:ny_open:rr=2.5,1409,0.23633782824698368,0.7156683960006632,-839.4575000000002,903.4654999999998,-0.3774271638103202,-11.499417808219182,-167.46950000000197,61.77099999999973,19,73
