timestamp,direction,entry_price,exit_price,realized_r,max_favorable_excursion_r,max_adverse_excursion_r,trend_strength_at_entry,atr_strength_at_entry,pullback_depth_at_entry,pre_entry_extension_at_entry,london_subwindow,outcome_type
2025-12-26T08:00:00+00:00,buy,4511.83,4511.81,-0.0063,0.5726,0.9450,0.0007481917347918079215807857076,0.0007038670258087742423297333633,0.2874,0.4148,london_07_09,BE
2025-12-26T08:10:00+00:00,buy,4512.65,4517.3850,1.2331,1.5990,0.0495,0.0007481917347918079215807857076,0.0007501168941393378140906743961,0.2987,0.3689,london_07_09,TP
2025-12-26T08:20:00+00:00,buy,4516.39,4516.37,-0.0051,0.6718,0.3766,0.0007481917347918079215807857076,0.0007725863280213344534912519820,0.0568,1.0637,london_07_09,BE
2025-12-26T08:40:00+00:00,buy,4518.62,4515.12,-1.0057,-0.0057,2.6638,0.0007481917347918079215807857076,0.0007236754747045545080334616917,0.3993,0.6588,london_07_09,full loss
2025-12-26T08:55:00+00:00,buy,4511.67,4513.4350,0.4944,1.1120,0.2605,0.0007481917347918079215807857076,0.0007851102938266171229721150482,1.4190,-0.7696,london_07_09,partial lock
2025-12-26T09:30:00+00:00,buy,4511.95,4511.93,-0.0055,0.2630,1.0466,0.001460021283720899360644493700,0.0007396264696355788194535692834,1.0811,0.0066,london_09_11,BE
2025-12-26T09:45:00+00:00,buy,4508.61,4510.222857142857142857142857,0.4939,1.5862,0.3123,0.001460021283720899360644493700,0.0007198956404805683626778470178,0.6912,-0.5495,london_09_11,partial lock
2025-12-26T10:00:00+00:00,buy,4513.60,4516.0350,0.4959,0.7678,0.5479,0.0009529003445672370772521214714,0.0006698832032602565084541697342,0.4360,1.1812,london_09_11,partial lock
2025-12-26T10:35:00+00:00,buy,4515.34,4516.780357142857142857142857,0.4932,0.9587,0.7156,0.0009529003445672370772521214714,0.0006424161046646274714274324491,0.0268,0.2352,london_09_11,partial lock
2025-12-26T10:55:00+00:00,buy,4518.80,4518.78,-0.0043,0.3568,0.4637,0.0009529003445672370772521214714,0.0006435049156757228404885515876,0.0678,1.1496,london_09_11,BE
2025-12-26T11:15:00+00:00,buy,4516.12,4516.10,-0.0074,0.9995,0.1925,0.001467050012652717968149131624,0.0005937487149152081283787844758,0.5452,-0.2096,london_11_13,BE
2025-12-26T11:25:00+00:00,buy,4517.40,4517.38,-0.0075,0.3367,1.6799,0.001467050012652717968149131624,0.0005872556975187260883837217907,0.2751,0.3959,london_11_13,BE
2025-12-26T11:45:00+00:00,buy,4514.40,4517.736785714285714285714286,1.2261,1.8740,0.8892,0.001467050012652717968149131624,0.0005984052231820474635656343886,0.9827,-0.4386,london_11_13,TP
2025-12-26T12:20:00+00:00,sell,4522.52,4519.044821428571428571428571,1.2270,2.1821,0.4025,0.0008563820570799234280774396986,0.0006218060773686594574856480776,1.6294,-1.4303,london_11_13,TP
2025-12-26T12:35:00+00:00,sell,4517.94,4512.7175,1.2346,1.5626,0.0047,0.0008563820570799234280774396986,0.0006761901389122524325137894094,0.5945,0.7836,london_11_13,TP
2025-12-29T07:10:00+00:00,buy,4514.70,4514.68,-0.0041,0.6443,0.7317,0.0002642642967212719719170806676,0.0008848910664764723081148608539,0.8050,0.4216,london_07_09,BE
2025-12-29T07:35:00+00:00,buy,4516.81,4516.79,-0.0043,0.5548,0.5613,0.0002642642967212719719170806676,0.0007946541048589184544143707620,0.5115,0.7785,london_07_09,BE
2025-12-29T07:50:00+00:00,buy,4514.36,4510.694285714285714285714286,-1.0055,0.0000,2.5098,0.0002642642967212719719170806676,0.0008031548987702046620958355565,0.2375,-0.1989,london_07_09,full loss
2025-12-29T08:15:00+00:00,sell,4504.27,4496.2975,1.2399,2.3048,0.1804,0.0004877757588935419826634742669,0.001163493977011756728426836257,0.5096,0.7135,london_07_09,TP
2025-12-29T08:25:00+00:00,sell,4490.70,4490.72,-0.0014,0.4073,0.4861,0.0004877757588935419826634742669,0.001285985320839419959382905191,0.1359,2.4113,london_07_09,BE
2025-12-29T08:40:00+00:00,sell,4487.05,4473.6025,1.2440,1.4561,0.0768,0.0004877757588935419826634742669,0.001576434383366301076521777336,0.2976,1.2278,london_07_09,TP
2025-12-29T09:20:00+00:00,sell,4476.26,4476.28,-0.0018,0.5487,0.2291,0.004864465936146060199744240180,0.002462823083963852637840860203,0.6799,-0.2436,london_09_11,BE
2025-12-29T09:35:00+00:00,sell,4473.25,4473.27,-0.0018,0.6399,0.5780,0.004864465936146060199744240180,0.002451546312077869529130016424,0.3440,0.1594,london_09_11,BE
2025-12-29T10:20:00+00:00,sell,4483.66,4474.441964285714285714285714,1.2412,1.2631,0.0943,0.007022865242946835572517318828,0.001651863775164278322398438018,1.1106,-0.4558,london_09_11,TP
2025-12-29T10:30:00+00:00,sell,4476.82,4473.0700,0.4973,0.9138,0.1313,0.007022865242946835572517318828,0.001572856874810931690337699934,0.4857,0.5822,london_09_11,partial lock
2025-12-29T10:40:00+00:00,sell,4470.02,4460.3475,1.2417,1.8652,0.2542,0.007022865242946835572517318828,0.001570295951330572944697203093,0.1806,0.9263,london_09_11,TP
2025-12-29T10:50:00+00:00,sell,4457.44,4457.46,-0.0014,0.3304,0.5859,0.007022865242946835572517318828,0.001676964010894096637995629798,0.2689,1.6762,london_09_11,BE
2025-12-29T11:15:00+00:00,sell,4465.95,4465.97,-0.0027,0.5068,0.1854,0.008648585558834274420619724687,0.001674408279244406670251447534,0.2717,-0.0123,london_11_13,BE
2025-12-29T11:30:00+00:00,sell,4461.87,4468.666428571428571428571429,-1.0030,0.2391,2.0468,0.008648585558834274420619724687,0.001514252608519836084836566695,0.2741,0.5326,london_11_13,full loss
2025-12-29T11:45:00+00:00,sell,4471.96,4471.98,-0.0029,0.4239,0.3937,0.008648585558834274420619724687,0.001551885294656952848626335538,1.0971,-0.5553,london_11_13,BE
2025-12-29T12:10:00+00:00,sell,4471.20,4471.22,-0.0039,1.0419,0.2269,0.004654679525945494160512295146,0.001128966399071649987507404499,0.4879,0.1242,london_11_13,BE
2025-12-29T12:20:00+00:00,sell,4467.25,4460.9400,1.2373,1.9882,0.2216,0.004654679525945494160512295146,0.001057053380955898600903268183,0.1436,0.9322,london_11_13,TP
2025-12-29T12:30:00+00:00,sell,4461.46,4461.48,-0.0029,0.3569,0.3295,0.004654679525945494160512295146,0.001105494781360189251740934142,0.1406,1.2584,london_11_13,BE
2025-12-29T12:50:00+00:00,sell,4460.42,4460.44,-0.0046,0.8284,0.2954,0.004654679525945494160512295146,0.0009670730754300985040553334265,0.0932,0.5744,london_11_13,BE
2025-12-30T07:10:00+00:00,buy,4364.04,4370.5000,1.2375,1.8659,0.2893,0.003038163902305318513024984817,0.0007054439321019217536648712492,1.2708,0.4183,london_07_09,TP
2025-12-30T07:20:00+00:00,buy,4373.62,4373.60,-0.0018,0.5888,0.2056,0.003038163902305318513024984817,0.0008162612035851472471190781050,0.3103,2.7906,london_07_09,BE
2025-12-30T07:45:00+00:00,buy,4377.81,4377.79,-0.0039,0.3595,0.1316,0.003038163902305318513024984817,0.001056469131685165345985074661,0.1450,0.8107,london_07_09,BE
2025-12-30T08:25:00+00:00,buy,4366.72,4366.70,-0.0040,0.5979,1.2949,0.003246782132114368511508197227,0.001152063179452283352253581489,1.1283,-0.8480,london_07_09,BE
2025-12-30T08:45:00+00:00,buy,4365.45,4363.54,-0.3405,0.2353,0.8556,0.003246782132114368511508197227,0.001088258037745258935382245114,1.0501,0.0424,london_07_09,full loss
2025-12-30T09:00:00+00:00,sell,4363.54,4361.164642857142857142857143,0.4958,0.9122,1.0750,0.002239952131848359684838526588,0.001093307823363099330428758694,0.1867,0.2032,london_09_11,partial lock
2025-12-30T09:20:00+00:00,sell,4366.69,4372.49,-1.0035,0.1228,1.3253,0.002239952131848359684838526588,0.001265745345384249731000488436,0.9099,0.1322,london_09_11,full loss
