rank_by_trade_count,min_atr,context_ema_period,execution_ema_period,max_spread,total_trades,win_rate,profit_factor,max_drawdown,net_pnl,average_r
76,0.10,5,5,0.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
77,0.10,5,5,1.00,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
78,0.10,5,5,1.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
79,0.10,5,10,0.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
80,0.10,5,10,1.00,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
81,0.10,5,10,1.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
82,0.25,5,3,0.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
83,0.25,5,3,1.00,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
84,0.25,5,3,1.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
85,0.25,5,5,0.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
86,0.25,5,5,1.00,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
87,0.25,5,5,1.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
88,0.25,5,10,0.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
89,0.25,5,10,1.00,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
90,0.25,5,10,1.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
91,0.50,5,3,0.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
92,0.50,5,3,1.00,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
93,0.50,5,3,1.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
94,0.50,5,5,0.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
95,0.50,5,5,1.00,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
96,0.50,5,5,1.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
97,0.50,5,10,0.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
98,0.50,5,10,1.00,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
99,0.50,5,10,1.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
100,0.75,5,3,0.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
101,0.75,5,3,1.00,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
102,0.75,5,3,1.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
103,0.75,5,5,0.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
104,0.75,5,5,1.00,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
105,0.75,5,5,1.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
106,0.75,5,10,0.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
107,0.75,5,10,1.00,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
108,0.75,5,10,1.50,12,0.5833333333333333333333333333,1.136219532981080620419294327,9.1300000000000000000000,2.854285714285714285714285,0.1666666666666666666666666667
