parameters,entry_hour_utc,trades,profit_factor,net_pnl,max_drawdown,average_monthly_pnl,worst_monthly_pnl,positive_months,total_months
impulse_continuation:bars=3:atr=0.75:rr=3.0,12,192,1.1594660582907763,125.64207976703597,177.02417868067164,1.9943187264608884,-46.338460648539694,30,63
impulse_continuation:bars=3:atr=0.75:rr=2.5,12,192,1.1547514472727178,121.08684978907377,171.58265703490724,1.9220134887154565,-46.338460648539694,30,63
impulse_continuation:bars=3:atr=0.5:rr=2.0,13,49,1.254880493757538,67.20315678174006,86.30978244595644,1.9200901937640018,-67.64771249433488,15,35
impulse_continuation:bars=6:atr=0.5:rr=2.5,5,383,1.050816195808028,139.92926027156864,445.1220221448805,1.91683918180231,-367.93191865005065,31,73
impulse_continuation:bars=6:atr=0.35:rr=3.0,9,25,1.2708054246429326,38.82611793211822,55.016662422893205,1.8488627586722963,-34.10738509928069,9,21
impulse_continuation:bars=3:atr=0.5:rr=3.0,6,401,1.0613883374786681,134.72862076124147,228.53916694615418,1.8455975446745407,-89.34694609818325,36,73
impulse_continuation:bars=6:atr=0.75:rr=2.5,11,69,1.1920615030114914,84.24244057133751,161.52170524745907,1.7923923525816492,-75.38973882368828,25,47
impulse_continuation:bars=12:atr=0.35:rr=3.0,10,10,1.8202874991446925,17.78142974679008,8.670570253210144,1.778142974679008,-8.165570491957624,6,10
impulse_continuation:bars=6:atr=0.5:rr=2.0,8,196,1.0975546321934326,111.87761007706558,225.31591601637092,1.7211940011856244,-69.68995269588231,25,65
impulse_continuation:bars=6:atr=0.35:rr=2.5,9,25,1.2439803614636396,34.98013490608014,55.016662422893205,1.66572070981334,-34.10738509928069,9,21
impulse_continuation:bars=3:atr=0.5:rr=2.5,10,67,1.227653924534647,74.00842884735835,95.60775956475868,1.6446317521635188,-16.899646961605868,18,45
impulse_continuation:bars=3:atr=0.75:rr=2.5,13,225,1.1012801772082075,113.8046274405176,140.15760829793453,1.6257803920073943,-41.910030139034006,29,70
impulse_continuation:bars=3:atr=0.35:rr=3.0,10,11,1.4150806275541135,16.24134085354649,30.52126516563976,1.6241340853546489,-22.039243252270808,6,10
impulse_continuation:bars=12:atr=0.35:rr=2.5,7,367,1.0538349825072932,109.72041273180685,198.71714491356147,1.523894621275095,-70.68970252929876,32,72
impulse_continuation:bars=3:atr=0.75:rr=2.5,11,78,1.1497439245722458,69.82707455694322,99.83482165157625,1.5179798816726786,-45.141376576752464,18,46
impulse_continuation:bars=6:atr=0.5:rr=3.0,8,196,1.0826608835977607,97.35893278194408,203.70402965122503,1.497829735106832,-51.607348992926745,26,65
impulse_continuation:bars=12:atr=0.5:rr=2.0,11,16,1.2327802736758382,20.682176470950026,34.30311200919914,1.3788117647300018,-34.30311200919914,6,15
impulse_continuation:bars=12:atr=0.75:rr=2.5,14,26,1.1758369216675983,29.54842222881757,52.2052768640383,1.28471400994859,-49.553668392321924,11,23
impulse_continuation:bars=12:atr=0.5:rr=2.0,9,89,1.1350563511985732,70.14421564375925,107.82633804340594,1.2306002744519167,-44.475216699167504,24,57
impulse_continuation:bars=3:atr=0.5:rr=2.0,8,180,1.087388126924499,86.90305524296491,136.86000450024085,1.2069868783745126,-54.7879534066833,34,72
impulse_continuation:bars=6:atr=0.5:rr=2.0,11,28,1.1802598677068368,31.30201998116445,92.06541219117571,1.203923845429402,-70.72907917121029,15,26
impulse_continuation:bars=3:atr=0.75:rr=2.0,9,65,1.1503119116637863,51.30483376996267,52.002541516267684,1.1931356690688992,-28.30999999999949,20,43
impulse_continuation:bars=3:atr=0.35:rr=3.0,6,500,1.0307424701973078,86.2254696204268,351.80828001020745,1.1811708167181751,-140.77893771952222,33,73
impulse_continuation:bars=3:atr=0.5:rr=3.0,10,67,1.151943595750915,49.39562020698645,89.16602529043507,1.0976804490441434,-16.899646961605868,18,45
impulse_continuation:bars=6:atr=0.35:rr=3.0,5,599,1.0188793957341882,79.70650239018642,434.90226955487833,1.0918698957559783,-390.1118938673444,33,73
impulse_continuation:bars=6:atr=0.75:rr=3.0,13,131,1.0971393849031041,71.9310571390256,120.95335760319858,1.0898645021064484,-99.49423307525922,32,66
